doc,pass,min_similarity,top_n_candidates,top_k,candidate_count,selected_chunk_count,expanded_ref_count,selected_chunk_token_estimate,gt_coverage,full_doc_chunks,rerank_ms_full_corpus
Dvina,radar_power_rf,0.35,25,30,25,25,65,8674,0.26666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,50,5,42,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.35,50,10,42,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,50,15,42,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,50,20,42,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,50,30,42,30,44,12312,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,75,5,42,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.35,75,10,42,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,75,15,42,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,75,20,42,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,75,30,42,30,44,12312,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,100,5,42,5,4,2368,0.3333333333333333,45,23047.33823798597
Dvina,radar_power_rf,0.35,100,10,42,10,7,4928,0.6666666666666666,45,23047.33823798597
Dvina,radar_power_rf,0.35,100,15,42,15,10,7288,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,100,20,42,20,16,9734,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.35,100,30,42,30,44,12312,1.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,25,5,15,5,4,680,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,25,10,15,10,25,2306,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,25,15,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,25,20,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,25,30,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,50,5,15,5,4,680,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,50,10,15,10,25,2306,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,50,15,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,50,20,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,50,30,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,75,5,15,5,4,680,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,75,10,15,10,25,2306,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,75,15,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,75,20,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,75,30,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,100,5,15,5,4,680,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,100,10,15,10,25,2306,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,100,15,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,100,20,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.4,100,30,15,15,57,4427,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,25,5,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,25,10,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,25,15,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,25,20,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,25,30,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,50,5,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,50,10,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,50,15,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,50,20,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,50,30,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,75,5,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,75,10,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,75,15,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,75,20,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,75,30,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,100,5,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,100,10,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,100,15,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,100,20,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.45,100,30,2,2,19,531,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,25,5,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,25,10,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,25,15,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,25,20,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,25,30,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,50,5,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,50,10,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,50,15,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,50,20,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,50,30,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,75,5,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,75,10,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,75,15,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,75,20,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,75,30,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,100,5,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,100,10,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,100,15,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,100,20,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_power_rf,0.5,100,30,0,0,0,0,0.0,45,23047.33823798597
Dvina,radar_antenna,0.2,25,5,25,5,5,2560,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,25,10,25,10,8,5037,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,25,15,25,15,9,6126,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,25,20,25,20,32,7480,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,25,30,25,25,83,9253,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,50,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.2,50,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,50,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,50,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,50,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,75,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.2,75,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,75,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,75,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,75,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,100,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.2,100,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.2,100,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,100,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.2,100,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,25,5,25,5,5,2560,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,25,10,25,10,8,5037,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,25,15,25,15,9,6126,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,25,20,25,20,32,7480,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,25,30,25,25,83,9253,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,50,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.25,50,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,50,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,50,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,50,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,75,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.25,75,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,75,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,75,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,75,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,100,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.25,100,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.25,100,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,100,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.25,100,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,25,5,25,5,5,2560,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,25,10,25,10,8,5037,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,25,15,25,15,9,6126,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,25,20,25,20,32,7480,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,25,30,25,25,83,9253,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,50,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.3,50,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,50,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,50,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,50,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,75,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.3,75,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,75,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,75,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,75,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,100,5,45,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.3,100,10,45,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.3,100,15,45,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,100,20,45,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.3,100,30,45,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,25,5,25,5,5,2560,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,25,10,25,10,8,5037,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,25,15,25,15,9,6126,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,25,20,25,20,32,7480,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,25,30,25,25,83,9253,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,50,5,43,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.35,50,10,43,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,50,15,43,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,50,20,43,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,50,30,43,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,75,5,43,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.35,75,10,43,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,75,15,43,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,75,20,43,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,75,30,43,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,100,5,43,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.35,100,10,43,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.35,100,15,43,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,100,20,43,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.35,100,30,43,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,25,5,25,5,5,2560,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,25,10,25,10,8,5037,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,25,15,25,15,9,6126,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,25,20,25,20,32,7480,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,25,30,25,25,83,9253,0.26666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,50,5,38,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.4,50,10,38,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,50,15,38,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,50,20,38,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,50,30,38,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,75,5,38,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.4,75,10,38,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,75,15,38,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,75,20,38,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,75,30,38,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,100,5,38,5,3,2560,0.3333333333333333,45,28059.107707813382
Dvina,radar_antenna,0.4,100,10,38,10,7,5120,0.6666666666666666,45,28059.107707813382
Dvina,radar_antenna,0.4,100,15,38,15,8,7680,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,100,20,38,20,8,9736,1.0,45,28059.107707813382
Dvina,radar_antenna,0.4,100,30,38,30,9,12389,1.0,45,28059.107707813382
Dvina,radar_antenna,0.45,25,5,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,25,10,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,25,15,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,25,20,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,25,30,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,50,5,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,50,10,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,50,15,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,50,20,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,50,30,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,75,5,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,75,10,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,75,15,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,75,20,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,75,30,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,100,5,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,100,10,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,100,15,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,100,20,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.45,100,30,5,5,24,1801,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,25,5,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,25,10,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,25,15,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,25,20,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,25,30,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,50,5,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,50,10,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,50,15,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,50,20,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,50,30,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,75,5,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,75,10,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,75,15,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,75,20,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,75,30,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,100,5,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,100,10,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,100,15,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,100,20,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_antenna,0.5,100,30,1,1,1,367,0.0,45,28059.107707813382
Dvina,radar_timing,0.2,25,5,25,5,7,1165,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.2,25,10,25,10,11,1865,0.6,45,20387.442899867892
Dvina,radar_timing,0.2,25,15,25,15,39,3877,0.6,45,20387.442899867892
Dvina,radar_timing,0.2,25,20,25,20,59,6150,0.6,45,20387.442899867892
Dvina,radar_timing,0.2,25,30,25,25,93,8335,0.6,45,20387.442899867892
Dvina,radar_timing,0.2,50,5,45,5,9,1591,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.2,50,10,45,10,14,1826,0.6666666666666666,45,20387.442899867892
Dvina,radar_timing,0.2,50,15,45,15,16,4386,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,50,20,45,20,16,6946,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,50,30,45,30,34,11545,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,75,5,45,5,9,1591,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.2,75,10,45,10,14,1826,0.6666666666666666,45,20387.442899867892
Dvina,radar_timing,0.2,75,15,45,15,16,4386,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,75,20,45,20,16,6946,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,75,30,45,30,34,11545,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,100,5,45,5,9,1591,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.2,100,10,45,10,14,1826,0.6666666666666666,45,20387.442899867892
Dvina,radar_timing,0.2,100,15,45,15,16,4386,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,100,20,45,20,16,6946,1.0,45,20387.442899867892
Dvina,radar_timing,0.2,100,30,45,30,34,11545,1.0,45,20387.442899867892
Dvina,radar_timing,0.25,25,5,25,5,7,1165,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.25,25,10,25,10,11,1865,0.6,45,20387.442899867892
Dvina,radar_timing,0.25,25,15,25,15,39,3877,0.6,45,20387.442899867892
Dvina,radar_timing,0.25,25,20,25,20,59,6150,0.6,45,20387.442899867892
Dvina,radar_timing,0.25,25,30,25,25,93,8335,0.6,45,20387.442899867892
Dvina,radar_timing,0.25,50,5,45,5,9,1591,0.3333333333333333,45,20387.442899867892
Dvina,radar_timing,0.25,50,10,45,10,14,1826,0.6666666666666666,45,20387.442899867892
